Date		Location	Operator	Fatalities	On-board
16-Dec-1960	Staten Island / Brooklyn	New York	United Air Lines / Trans World Airlines	128	128
17-Dec-1960	Munich	West Germany	Military - U.S. Air Force	20	20
22-Dec-1960	Cebu City	Philippines	Philippine Air Lines	28	37
26-Dec-1960	Near Ulyanovsk	Russia	Aeroflot	17	17
2-Jan-1961	Ruzyne	Czechoslovakia	Ceskoslovenske Aerolinie	10	10
3-Jan-1961	Koivulahti	Finland	Finnair	25	25
19-Jan-1961	New York	New York (Idlewild)	Aeronaves de Mexico	4	106
22-Jan-1961		Midway Island Naval Air Station	Military - U.S. Navy	6	22
24-Jan-1961	Mt. Burangrang	Indonesia	Garuda Indonesia Airlines	21	21
26-Jan-1961	Off Argentia	Azores	Military - U.S. Air Force	23	23
28-Jan-1961	Off Montauk Point	New York	American Airlines	6	6
3-Feb-1961	Off Surabaya	Indonesia	Garuda Indonesia Airlines	26	26
15-Feb-1961	Near Brussels	Belgium	Sabena	72	72
9-Mar-1961	Near Caracas	Venezuela	Linea Aeropostal Venezolana	12	12
25-Mar-1961	Near Natal	Brazil	Military - Brazilian Air Force	23	28
28-Mar-1961	Forcheim	Germany	Ceskoslovenske Aerolinie	52	52
3-Apr-1961	Llico	Chile	LAN	24	24
18-Apr-1961	Mount Parker	Hong Kong	Military - US Air Force	14	15
10-May-1961	Ghadames	Algeria	Air France	78	78
24-May-1961	Near Tacoma	Washington	Military - U.S. Air Force	22	22
29-May-1961		Singapore	Military - Royal Air Force	13	13
30-May-1961	Near Lisbon	Portugal	KLM Royal Dutch Airlines	61	61
12-Jun-1961	Cairo	Egypt	KLM Royal Dutch Airlines	20	36
13-Jun-1961	Douala	Cameroon	Air Cameroon	5	5
17-Jun-1961	Near Kano	Nigeria	Continentale Deutsche Luftreederei	1	7
30-Jun-1961	Buenos Aires	Argentina	Transcontinental	24	35
8-Jul-1961	Sverdlovsk	Russia	Aeroflot	9	26
10-Jul-1961	"Odessa , Ukraine"	USSR	Aeroflot	1	85
11-Jul-1961	Denver	Colorado	United Air Lines	17	122
12-Jul-1961	Casablanca	Morocco	Ceskoslovenske Aerolinie	72	72
19-Jul-1961	Near Azul	Argentina	Aerolineas Argentinas	67	67
21-Jul-1961	Shemya	Alaska	Alaska Airlines	6	6
6-Aug-1961	Budapest	Hungary	Malev Hungarian Airlines	27	27
9-Aug-1961	Sola	Norway	Cunard Eagle Airways	39	39
13-Aug-1961	Near Pha Khao	Laos	Air America	6	6
29-Aug-1961	Sondrestr�mfjord	Greenland	Eastern Provincial Airways	1	6
1-Sep-1961	Near Hinsdale	Illinois	Trans World Airlines	78	78
5-Sep-1961	Near Sendafar	Ethiopia	Ethiopian Airlines	5	19
6-Sep-1961	Cerro del Aernal	Costa Rica	Lineas A�reas Costarricenses	2	2
10-Sep-1961	Shannon	Ireland	President Airlines	83	83
12-Sep-1961	Near Rabat	Morocco	Air France	77	77
17-Sep-1961	Chicago	Illinois	Northwest Orient Airlines	37	37
17-Sep-1961	Ndola	Zambia	Transair Sweden	16	16
23-Sep-1961	Ankara	Turkey	Turkish Airlines (THY)	28	29
7-Oct-1961	Mt. Canigou	France	Derby Aviation	34	34
10-Oct-1961	El Adem	Libya	Military - Royal Air Force	17	37
1-Nov-1961	Les Prevosts	Guernsey	Bristol 170 Freighter 31M	2	10
1-Nov-1961	Near Recife	Brazil	Panair do Brasil	45	88
8-Nov-1961	Near Richmond	Virginia	Imperial Airways	76	79
11-Nov-1961		Off Puerto Rico	Air Haiti International	3	3
21-Nov-1961	"Mt Ruapehu , North Island"	New Zealand	Bay of Plenty Airways	6	6
23-Nov-1961		Sao Tom�	Military - For�a A�rea Portuguesa	21	35
23-Nov-1961	Campinas	Brazil	Aerolineas Argentinas	52	52
30-Nov-1961	"Sydney , NSW"	Australia	Ansett ANA	15	15
4-Dec-1961	Mainz	Germany	Lufthansa	3	3
12-Dec-1961	Chievres	Belgium	Military - Belgian Air Force	13	13
15-Dec-1961	Managua	Nicaragua	Lanica	2	2
17-Dec-1961	Near Chebotovka	Russia	Aeroflot	59	59
21-Dec-1961	Ankara	Turkey	British European Airways	27	34
24-Dec-1961	"Old Harbor , Kodiak Island"	Alaska	Kodiak Airways	1	5
29-Dec-1961	Surabaya	Indonesia	Garuda Indonesia Airlines	14	14
31-Dec-1961	Near Mineral Waters	Russia	Aeroflot	32	119
13-Jan-1962	Near Tippi	Ethiopia	Ethiopian Airlines	5	18
22-Jan-1962	Caranavi	Bolivia	Corporacion Boliviano de Fomento	6	6
27-Jan-1962	Batataevka	USSR	Aeroflot	13	14
4-Feb-1962	Near Tino Maria	Peru	Faucett	18	18
25-Feb-1962	"Portlamar , Margarita Island"	Venezuela	Avensa	23	23
25-Feb-1962	Municipio de Marulanda	Colombia	Avianca	2	2
1-Mar-1962	"Jamaica Bay , New York"	New York	American Airlines	95	95
4-Mar-1962	Douala	Cameroon	Caledonian Airways	111	111
6-Mar-1962	Near Seymour	South Africa	South African Airways	2	7
8-Mar-1962	Mt. Medetsiz	Turkey	Turkish Airlines (THY)	11	11
8-Mar-1962	Rome	Italy	Societa Aerea Mediterranea	5	5
8-Mar-1962	Near Alencon	France	Military - U.S. Air Force	15	15
15-Mar-1962	Western Pacific Ocean	Philippine Sea	Flying Tiger Line	107	107
15-Mar-1962	Adak	Alaska	Flying Tiger Line	1	7
20-Mar-1962		Algeria	Military - French Air Force	11	11
27-Mar-1962	Santiago de Cuba	Cuba	Cubana de Aviacion	22	22
6-Apr-1962	Near Villavicencio	Colombia	Military - Colombian Air Force	31	31
19-Apr-1962		Near Hong Kong	Military - U.S. Air Force	15	16
22-Apr-1962	Serrania del Baudo	Colombia	AVISPA	40	40
6-May-1962	St. Boniface Down	England	Channel Airways	12	18
8-May-1962	Near Mong Pa Liao	Burma	Military - Union of Burma Air Force	32	32
9-May-1962	Vitoria	Brazil	Cruzeiro	23	25
12-May-1962	Godthaab	Greenland	East Provincial Airways	15	21
15-May-1962	Near Cairo	Egypt	United Arab Airlines	3	3
17-May-1962	Near Nairobi	Kenya	Military - U.S. Air Force	13	13
22-May-1962	Near Unionville	Missouri	Continental Airlines	45	45
22-May-1962	Near Markt Schwaben	West Germany	Military - U.S. Navy	26	26
24-May-1962	Bitter	Russia	Aeroflot	20	21
3-Jun-1962	"Villeneuve-le-Roi , Val-de-Marne"	France	Air France	130	132
4-Jun-1962	Sofia	Bulgaria	Aeroflot	5	5
22-Jun-1962	"Basse-Terre , Guadaloupe"	West Indies	Air France	112	112
28-Jun-1962	Near Adler	Russia	Aeroflot	81	81
30-Jun-1962	Near Krasnoyarsk	USSR	Aeroflot	84	84
6-Jul-1962	"Near Tashkent , Uzbekistan"	USSR	Aeroflot	11	38
7-Jul-1962	"Near Junnar , Maharashtra"	India	Alitalia	94	94
9-Jul-1962	Off Brindisi	Italy	Trans Mediterranean Airways	6	6
15-Jul-1962	Near Lahore	Pakistan	Indian Airlines	1	3
16-Jul-1962	Near Loheshyphn	India	Kalinga Airlines	9	9
19-Jul-1962	Near Bangkok	Thailand	United Arab Airlines	26	26
22-Jul-1962	Honolulu	Hawaii	Canadian Pacific Air Lines	27	40
28-Jul-1962	Sochi	Russia	Aeroflot	81	81
30-Jul-1962	Coulommiers	France	Air France	4	8
1-Aug-1962	Near Kathmandu	Nepal	Royal Nepal Airlines	10	10
20-Aug-1962	Rio de Janeiro	Brazil	Panair do Brazil	15	105
23-Aug-1962	Barrancabermeja	Colombia	Taxader Airlines	20	32
